Change Component DesignItemId : Designator=D11 Old DesignItemId= New DesignItemId=TVS
Change Component DesignItemId : Designator=R25 Old DesignItemId=0603 2.4K¦¸ (2401) 1% New DesignItemId=0603 2.2K¦¸ (2201) 1%
Change Component DesignItemId : Designator=U5 Old DesignItemId=TPS New DesignItemId=TPS22958DGKR
Change Component DesignItemId : Designator=U1 Old DesignItemId=US New DesignItemId=USB2517-JZX
Change Component Comment : Designator=R25 Old Comment=2.4K¦¸ (2401) ¡À1% New Comment=2.2K¦¸ (2201) ¡À1%
Change Component Description : Designator=C1 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C2 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C3 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C4 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C5 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C6 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C7 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C8 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C9 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C10 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C11 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C12 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C13 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C14 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C15 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C16 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C17 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C18 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C19 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C20 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C21 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C22 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C23 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C24 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C25 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C26 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C27 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C28 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C29 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C31 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C32 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C33 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C34 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C35 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C36 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C37 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C38 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C39 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C40 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C41 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C42 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C43 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C44 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C45 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=U4 Old Description=MP4575 New Description=MP4575_TSSOP-20
Change Component Description : Designator=Y1 Old Description=SM New Description=SMD-3225_4P
Change Component Description : Designator=VR1 Old Description=µÍÑ¹²îÏßĞÔ? New Description=µÍÑ¹²îÏßĞÔÎÈÑ¹(LDO)
Change Component Description : Designator=L2 Old Description=Ìù? New Description=ÌùÆ¬µç¸Ğ
Added Member To Class: ClassName=RST_SER_1 Member=Component D11 TVS
